cache-misses-1,node-loads-1,branch-misses-1,branch-load-misses-1,cache-misses-2,node-loads-2,branch-misses-2,branch-load-misses-2,cache-misses-3,node-loads-3,branch-misses-3,branch-load-misses-3,cache-misses-4,node-loads-4,branch-misses-4,branch-load-misses-4,cache-misses-5,node-loads-5,branch-misses-5,branch-load-misses-5,label
29696915,2028397,25517345,25519245,79568522,6081924,55650811,55649778,78114672,6136537,42777211,42776701,61782233,4335633,32564148,32564089,49265769,3445456,18795977,18796488,29
35354330,2447108,31199890,31202533,76130890,5860177,48806267,48805108,76863295,5738860,42873506,42872142,62614177,4531186,30101108,30101286,53837509,3948335,19012828,19012793,5
35187880,2470898,29360884,29361335,78197499,6024952,50510354,50511536,72176987,5333696,32515023,32513882,68213551,4816558,40285936,40285654,51531859,3631484,19356309,19358126,11
32830328,2284438,27949694,27951333,78807775,6131003,50568658,50567454,59375779,4478491,27721500,27721871,72495874,5398274,37570702,37570612,67558584,4792513,30871167,30870901,14
33570114,2358811,28415789,28415790,77645374,6025172,53918092,53920219,72377319,5502908,44368939,44368244,70229085,5075542,34520371,34519218,48470563,3367129,18379444,18379765,29
38848938,2802096,25008562,25008654,83396851,6511205,49202097,49203394,80283505,6495207,37121852,37122958,53392694,3741917,25239146,25236927,48325661,3346789,18142045,18142540,1
35336526,2507510,29977816,29978246,78397490,6083741,51447591,51449414,79554606,5957019,42637865,42636393,53679268,3864392,28280030,28281810,45718173,3214988,16751475,16749193,27
38154008,2751764,31751926,31753335,75696020,5753780,50031561,50031473,57579622,4216044,28480259,28479582,58938097,4187205,31103581,31103151,46924509,3256301,17106002,17106044,10
34708418,2475326,29065161,29065203,75484560,5577652,49870306,49870761,68130998,5329054,43648773,43650865,80153996,5660776,39792045,39789850,47554230,3279859,17166201,17166476,30
36491277,2599740,30044533,30044554,75469821,5808561,50333406,50334645,73364874,5548478,39040927,39041918,77799332,5702277,47088882,47089537,55430139,4067764,60043061,60040192,24
